"","title","categories","published_year","average_rating","authors"
"4866","baby einstein: what does violet see? raindrops and puddles","Juvenile Fiction",2002,3.25,"Julie Aigner-Clark"
"4867","son of the mob: hollywood hustle","Juvenile Fiction",2006,3.64,"Gordon Korman"
"4868","the tales from the odyssey #1: one-eyed giant","Juvenile Fiction",2003,3.88,"Mary Pope Osborne"
"4869","tales from the odyssey: the land of the dead - book #2","Juvenile Fiction",2003,3.99,"Mary Pope Osborne"
"4870","sirens and sea monsters","Juvenile Fiction",2003,4.05,"Mary Pope Osborne"
"4871","if i have a wicked stepmother, where's my prince?","Juvenile Fiction",2005,3.66,"Melissa Kantor"
"4872","the final battle","Juvenile Fiction",2005,4.08,"Mary Pope Osborne"
"4873","be more chill","Juvenile Fiction",2005,3.68,"Ned Vizzini"
"4875","the big box","Juvenile Fiction",2002,3.95,"Toni Morrison"
"4876","cheetah girls #2: shop in the name of love","Juvenile Fiction",1999,3.64,"Deborah Gregory"
"4877","son of the mob","Juvenile Fiction",2004,3.72,"Gordon Korman"
"4878","summerland","Juvenile Fiction",2004,3.55,"Michael Chabon"
"4879","baby einstein: violet's house","Juvenile Fiction",2003,3.98,"Julie Aigner-Clark"
"4880","baby einstein: water, water everywhere","Juvenile Fiction",2003,3.7,"Disney Book Group,"
"4881","the king in the window","Juvenile Fiction",2006,3.62,"Adam Gopnik"
"4882","disney's little einsteins: birthday machine","Juvenile Fiction",2006,4.29,"Susan Ring"
"4883","disney's little einsteins: galactic goodnight","Juvenile Fiction",2006,4.5,"Susan Ring"
"4884","baby einstein: sweet dreams, mimi","Juvenile Fiction",2004,3.13,"Julie Aigner-Clark"
"4885","it's kind of a funny story","Juvenile Fiction",2006,4.13,"Ned Vizzini"
"4886","the meanest doll in the world","Juvenile Fiction",2005,3.96,"Laura Godwin"
"4887","disney's little einsteins: music of the meadow","Juvenile Fiction",2006,3.72,"Susan Ring"
"4888","disney's little einsteins: butterfly suits","Juvenile Fiction",2006,3.68,"Disney Book Group"
"4889","disney's little einstein","Juvenile Fiction",2006,4.55,"Susan Ring"
"4890","the percy jackson and the olympians, book two: sea of monsters","Juvenile Fiction",2006,4.24,"Rick Riordan"
"4895","dirty jokes and beer","Biography & Autobiography",2000,3.54,"Drew Carey"
"4896","carter beats the devil","Fiction",2002,4.09,"Glen David Gold"
"4897","lost: secret identity - novelization #2","Fiction",2006,2.92,"Cathy Hapka"
"4898","shopgirl","Fiction",2006,3.42,"Steve Martin"
"4899","the soulforge","Fiction",1999,4.15,"Margaret Weis"
"4900","downfall","Fiction",2001,3.68,"Jean Rabe"
"4901","the best of tales","Fiction",2002,3.81,"Margaret Weis"
"4902","the day of the tempest","Fiction",2002,3.65,"Jean Rabe"
"4903","the players of gilean","Fiction",2003,3.64,"Margaret Weis"
"4904","dragons of a vanished moon","Fiction",2003,3.9,"Margaret Weis"
"4905","the legend of huma","Fiction",2004,4.03,"Richard A. Knaak"
"4906","the search for power","Fiction",2004,3.97,"Margaret Weis"
"4907","night of blood","Fiction",2004,3.9,"Richard A. Knaak"
"4908","amber and ashes","Fiction",2005,3.86,"Margaret Weis"
"4909","love and war","Fiction",2005,3.88,"Margaret Weis"
"4910","the reign of istar","Fiction",2005,3.71,"Margaret Weis"
"4912","night of the long shadows","Fiction",2007,3.64,"Paul Crilley"
"4919","organic church","Religion",2005,3.88,"Neil Cole"
"4920","killing the imposter god","Literary Criticism",2007,3.72,"Donna Freitas"
"4921","this is new york","Juvenile Nonfiction",2003,4.3,"Miroslav Sasek"
"4924","disaster!","Juvenile Fiction",1997,4.11,"Richard Platt"
"4925","flowers","Juvenile Nonfiction",1997,4,"David Burnie"
"4927","story of philosophy","Philosophy",1998,4.28,"Bryan Magee"
"4928","tree","Juvenile Nonfiction",2000,4.07,"David Burnie"
"4929","the illustrated book of ballet stories","Juvenile Fiction",2000,4.09,"Barbara Newman"
"4930","reptiles and amphibians","Juvenile Nonfiction",2002,3.99,"Mark O'shea"
"4931","serial murder","Juvenile Nonfiction",1997,3.89,"Robert W. Dolan"
"4932","j.d. salinger's the catcher in the rye","Juvenile Nonfiction",2000,3.58,"Harold Bloom"
"4933","ray bradbury's fahrenheit 451","Juvenile Nonfiction",2001,4.18,"Harold Bloom"
"4934","bram stoker's dracula","Juvenile Nonfiction",2003,3.83,"Harold Bloom"
"4935","edith wharton's the age of innocence","Juvenile Nonfiction",2005,3.71,"Harold Bloom"
"4936","freedom riders","Juvenile Nonfiction",2006,3.97,"Ann Bausum"
"4941","liturgies of the western church","Religion",1980,3.96,"Bard Thompson"
"4942","introduction to world religions","Religion",2005,3.68,"Christopher Hugh Partridge"
"4943","how to think theologically","Religion",2006,3.65,"Howard W. Stone"
"4946","always enough","Religion",2003,4.45,"Rolland Baker"
"4947","the bram stoker bedside companion","Fiction",1973,3.44,"Bram Stoker"
"4948","silence","Fiction",1980,4.08,"Sh<U+016B>saku End<U+014D>"
"4949","""""gorgias"""" and """"phaedrus""""","Philosophy",1998,4.41,"Plato"
"4950","the river runs black","History",2004,3.81,"Elizabeth Economy"
"4952","berlin diary","Biography & Autobiography",2002,4.29,"William L. Shirer"
"4953","the odyssey","History",2005,3.75,"Homer"
"4954","right stuff, wrong sex","History",2005,3.8,"Margaret A. Weitekamp"
"4956","quiet days in clichy","Fiction",1987,3.69,"Henry Miller"
"4957","the malady of death","Fiction",1988,3.86,"Marguerite Duras"
"4958","the bald soprano, and other plays","Drama",1982,4.04,"Eug<U+00E8>ne Ionesco"
"4959","india song","Drama",1988,3.61,"Marguerite Duras"
"4960","the blind owl","Fiction",1989,3.98,"Sadegh Hedayat"
"4961","practicalities","Biography & Autobiography",1993,3.99,"Marguerite Duras"
"4962","nova express","Fiction",1992,3.68,"William S. Burroughs"
"4963","edie","Biography & Autobiography",1994,4.13,"Jean Stein"
"4964","the complete short prose, 1929-1989","Fiction",1995,4.29,"Samuel Beckett"
"4965","the passion","Fiction",1987,4.11,"Jeanette Winterson"
"4966","sexing the cherry","Fiction",1989,3.83,"Jeanette Winterson"
"4967","this boy's life","Biography & Autobiography",1999,3.98,"Tobias Wolff"
"4968","the six wives of henry viii","Biography & Autobiography",2000,4.11,"Alison Weir"
"4969","last words","Biography & Autobiography",2001,3.98,"William S. Burroughs"
